nome,issn,qualis,h_index,h_2021,h_2022,fonte
REVISTA OBSERVAT├ôRIO,24474266,A2,,,,
Cambiassu: Estudos em Comunica├º├úo (Online),21765111,A4,,,,compos.org.br (Google Scholar 2021/2022)
InTexto,18078583,A2,10,9,10,compos.org.br (Google Scholar 2021/2022)
REVISTA LATINOAMERICANA DE CIENCIAS DE LA COMUNICACI├ôN,18073026,A3,,,,
RAZ├ôN Y PALABRA,16054806,B1,,,,
Revista de Politica P├║blicas da UFMA,21782865,A1,,,,
PAUTA GERAL - ESTUDOS EM JORNALISMO,2318857X,A3,,,,compos.org.br (Google Scholar 2021/2022)
CAMBIASSU: ESTUDOS EM COMUNICA├ç├âO (ONLINE),21765111,A4,,,,compos.org.br (Google Scholar 2021/2022)
"A├º├úo Midi├ítica - Estudos em Comunica├º├úo, Sociedade e Cultura",22380701,B1,,,,
E-COMP├ôS (BRAS├ìLIA),18082599,A1,,,,compos.org.br (Google Scholar 2021/2022)
QUEST├òES TRANSVERSAIS - REVISTA DE EPISTEMOLOGIAS DA COMUNICA├ç├âO,23186372,B4,,,,
Radiofonias - Revista de Estudos em M├¡dia Sonora,26758067,A3,,,,
Revista Brasileira de Hist├│ria da M├¡dia,22385126,A3,,,,
Tem├ítica (Jo├úo Pessoa. Online),18078931,B1,,,,
Estudos de Jornalismo e M├¡dia,19846924,A2,,,,
ESFERAS,24466190,A4,5,4,5,compos.org.br (Google Scholar 2021/2022)
ANIMUS (SANTA MARIA. ONLINE),21754977,A4,4,4,4,compos.org.br (Google Scholar 2021/2022)
CONTEMPORANEA (UFBA. ONLINE),18099386,A3,7,7,7,compos.org.br (Google Scholar 2021/2022)
Tem├ítica - Revista eletr├┤nica de publica├º├úo mensal,18078931,B1,,,,
Revista Internacional de Folkcomunica├º├úo,18074960,A4,,,,
Raz├│n y Palabra,16054806,B1,,,,
Rebej (Bras├¡lia),19814542,B1,2,2,2,compos.org.br (Google Scholar 2021/2022)
M├ìDIA E COTIDIANO,2178602X,A2,,,,
Lumina,19814070,A3,7,6,7,compos.org.br (Google Scholar 2021/2022)
RIZOMA,2318406X,B1,6,4,6,compos.org.br (Google Scholar 2021/2022)
REVISTA GEMINIS,21791465,A3,5,6,5,compos.org.br (Google Scholar 2021/2022)
Dispositiva - Revista do Programa de P├│s-Gradua├º├úo em Comunica├º├úo Social da Faculdade de Comunica├º├úo e Artes da PUC Minas,22379967,A4,,,,compos.org.br (Google Scholar 2021/2022)
COMUNICA├ç├âO,2317675X,A3,,,,
├éNCORA - REVISTA LATINO-AMERICANA DE JORNALISMO,2359375X,A3,,,,
REVISTA ECO-P├ôS (ONLINE),21758689,A2,,,,
REVISTA FAMECOS (ONLINE),19803729,A1,13,13,13,compos.org.br (Google Scholar 2021/2022)
ESFERAS - Revista Interprogramas de P├│s-gradua├º├úo em Comunica├º├úo do Centro Oeste,23167122,A4,5,4,5,compos.org.br (Google Scholar 2021/2022)
REVISTA FRONTEIRAS (ONLINE),19848226,A2,9,9,9,compos.org.br (Google Scholar 2021/2022)
CULTURAS MIDI├üTICAS,19835930,B1,,,,
REVISTA INTERNACIONAL DE FOLKCOMUNICA├ç├âO,18074960,A4,,,,
ASAS DA PALAVRA (UNAMA),14157950,B1,,,,
MEDIA├ç├âO,21799571,B1,,,,
Cambiass├║ (UFMA),01023853,A4,,,,compos.org.br (Google Scholar 2021/2022)
Revista Comunicando,21824037,A4,,,,
Revista Espirales,25949721,A3,,,,
NOVOS OLHARES (USP),15165981,A3,4,3,4,compos.org.br (Google Scholar 2021/2022)
COMUNICA├ç├âO,14155842,A3,,,,
COMUNICA├ç├âO,21780145,A2,,,,
Pap├®is (UFMS),15179257,,,,,
INTERCOM (S├âO PAULO. ONLINE),19803508,A1,11,11,11,compos.org.br (Google Scholar 2021/2022)
In Texto (UFRGS. Online),18078583,A2,,,,
Revista de Estudos da Comunica├º├úo (Impresso),15189775,,,,,
E-COM (BELO HORIZONTE),19830890,B1,,,,compos.org.br (Google Scholar 2021/2022)
